PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,2,Passenger_1,male,31.8,0,0,TKT100001,421.21,C130,S
2,0,1,Passenger_2,male,34.9,0,1,TKT100002,50.08,C32,S
3,0,3,Passenger_3,male,46.3,3,0,TKT100003,499.94,C75,S
4,1,2,Passenger_4,male,45.8,4,1,TKT100004,56.35,C25,S
5,0,3,Passenger_5,male,45.3,4,1,TKT100005,256.18,C120,S
6,1,3,Passenger_6,female,29.2,1,1,TKT100006,359.09,C135,S
7,1,3,Passenger_7,female,58.5,2,4,TKT100007,501.93,C194,S
8,0,2,Passenger_8,female,34.0,5,0,TKT100008,392.4,C81,S
9,1,2,Passenger_9,female,47.7,4,3,TKT100009,38.93,C179,S
10,0,3,Passenger_10,male,58.6,2,4,TKT100010,508.49,C99,C
11,1,3,Passenger_11,female,2.2,3,2,TKT100011,89.37,C197,S
12,0,2,Passenger_12,male,32.1,3,0,TKT100012,88.51,C36,S
13,1,3,Passenger_13,female,56.6,2,3,TKT100013,490.53,C60,S
14,0,3,Passenger_14,male,39.0,4,1,TKT100014,137.48,C95,S
15,0,3,Passenger_15,female,76.3,5,4,TKT100015,486.71,C117,S
16,1,3,Passenger_16,female,32.1,3,0,TKT100016,248.61,C54,S
17,1,2,Passenger_17,male,27.5,0,0,TKT100017,4.12,C94,S
18,0,3,Passenger_18,male,70.0,4,3,TKT100018,79.46,C94,S
19,1,3,Passenger_19,male,68.0,3,3,TKT100019,249.79,C88,S
20,1,3,Passenger_20,female,66.4,1,4,TKT100020,15.73,C38,Q
21,0,3,Passenger_21,male,60.7,2,0,TKT100021,357.67,C43,S
22,0,2,Passenger_22,male,42.8,4,2,TKT100022,327.31,C195,S
23,0,3,Passenger_23,male,65.5,5,1,TKT100023,105.56,C8,S
24,0,3,Passenger_24,female,21.0,5,4,TKT100024,489.91,C90,S
25,1,3,Passenger_25,female,6.8,0,1,TKT100025,242.8,C157,S
26,1,3,Passenger_26,female,72.8,2,0,TKT100026,428.0,C183,S
27,0,3,Passenger_27,female,71.2,3,2,TKT100027,48.07,C119,Q
28,0,2,Passenger_28,male,58.1,1,1,TKT100028,17.99,C168,S
29,1,1,Passenger_29,female,52.7,2,1,TKT100029,282.72,C186,S
30,0,3,Passenger_30,male,34.9,1,1,TKT100030,18.22,C196,S
